CustomerID,LookalikeID,SimilarityScore
C0001,C0107,0.9554455728491795
C0001,C0137,0.944787425450735
C0001,C0191,0.9032237644544886
C0002,C0060,0.9492988277800604
C0002,C0043,0.9162717147907318
C0002,C0142,0.9006463034979392
C0003,C0176,0.9776639945727925
C0003,C0144,0.9543703841934531
C0003,C0129,0.8389375731326509
C0004,C0113,0.9739258694845377
C0004,C0068,0.9730553145193407
C0004,C0165,0.9632785566942549
C0005,C0123,0.9739032721709557
C0005,C0186,0.9621590850838454
C0005,C0178,0.9225923568187818
C0006,C0079,0.9999609135661112
C0006,C0117,0.9967090817499552
C0006,C0168,0.975415564891417
C0007,C0080,0.975268319296922
C0007,C0140,0.972222814490298
C0007,C0092,0.929054175172166
C0008,C0194,0.9161665222775495
C0008,C0147,0.9151307946671188
C0008,C0024,0.9139563585970615
C0009,C0119,0.9659200652621748
C0009,C0198,0.9591774111666644
C0009,C0146,0.9436178455924498
C0010,C0111,0.9679876583979586
C0010,C0106,0.9389330275673137
C0010,C0166,0.9291963931557649
C0011,C0183,0.9235115130217544
C0011,C0048,0.9234590215641554
C0011,C0107,0.9170965534623178
C0012,C0046,0.9883090440965179
C0012,C0068,0.9867946506490755
C0012,C0102,0.9783023882716972
C0013,C0188,0.9900800851168409
C0013,C0059,0.9899877838965805
C0013,C0099,0.9861485126391151
C0014,C0060,0.9771521274992657
C0014,C0186,0.9486365137582023
C0014,C0177,0.9451050567722861
C0015,C0150,0.9927474021030377
C0015,C0130,0.9911544592531836
C0015,C0131,0.9627585648492768
C0016,C0152,0.9319368833525948
C0016,C0137,0.88263283185709
C0016,C0126,0.8786649899447636
C0017,C0124,0.9749376621161847
C0017,C0075,0.930481966922443
C0017,C0057,0.855880265120352
C0018,C0148,0.980505209245953
C0018,C0169,0.9172802960281826
C0018,C0163,0.906594129094108
C0019,C0172,0.9951480126904403
C0019,C0056,0.9714752645254325
C0019,C0119,0.9517860806473809
C0020,C0120,0.9394064422568024
C0020,C0129,0.9372152197988698
C0020,C0080,0.8999986344921476
